time,open,high,low,close,volume
2024-03-11T01:00:00.000Z,9246,9275,9207,9232,130396
2024-03-11T02:00:00.000Z,9232,9264,9224,9245,56317
2024-03-11T03:00:00.000Z,9245,9260,9236,9244,24128
2024-03-11T05:00:00.000Z,9244,9271,9231,9243,45552
2024-03-11T06:00:00.000Z,9243,9321,9235,9314,139809
2024-03-11T13:00:00.000Z,9317,9333,9287,9290,113901
2024-03-11T14:00:00.000Z,9290,9308,9284,9302,38643
2024-03-12T01:00:00.000Z,9311,9318,9268,9280,86466
2024-03-12T02:00:00.000Z,9280,9282,9233,9253,73513
2024-03-12T03:00:00.000Z,9253,9258,9247,9254,18349
2024-03-12T05:00:00.000Z,9254,9271,9243,9259,29272
2024-03-12T06:00:00.000Z,9259,9267,9217,9265,95988
2024-03-12T13:00:00.000Z,9264,9271,9237,9261,84197
2024-03-12T14:00:00.000Z,9261,9277,9246,9261,37507
2024-03-13T01:00:00.000Z,9262,9293,9247,9249,67570
2024-03-13T02:00:00.000Z,9249,9282,9242,9279,33508
2024-03-13T03:00:00.000Z,9279,9280,9250,9276,21295
2024-03-13T05:00:00.000Z,9278,9308,9278,9296,51276
2024-03-13T06:00:00.000Z,9296,9298,9260,9281,67453
2024-03-13T13:00:00.000Z,9322,9355,9284,9317,155714
2024-03-13T14:00:00.000Z,9317,9321,9290,9292,42758
2024-03-14T01:00:00.000Z,9305,9333,9279,9321,75978
2024-03-14T02:00:00.000Z,9321,9428,9313,9400,126856
2024-03-14T03:00:00.000Z,9400,9464,9384,9390,88418
2024-03-14T05:00:00.000Z,9389,9426,9376,9426,50028
2024-03-14T06:00:00.000Z,9426,9461,9413,9460,83655
2024-03-14T13:00:00.000Z,9480,9527,9456,9465,185819
2024-03-14T14:00:00.000Z,9465,9497,9465,9492,60470
2024-03-15T01:00:00.000Z,9491,9543,9480,9481,127379
2024-03-15T02:00:00.000Z,9481,9484,9407,9412,117382
2024-03-15T03:00:00.000Z,9412,9445,9411,9438,36416
2024-03-15T05:00:00.000Z,9438,9461,9412,9420,41330
2024-03-15T06:00:00.000Z,9420,9452,9397,9398,64931
2024-03-15T13:00:00.000Z,9385,9438,9356,9377,146654
2024-03-15T14:00:00.000Z,9377,9427,9365,9422,87004
2024-03-18T01:00:00.000Z,9419,9425,9385,9403,98708
2024-03-18T02:00:00.000Z,9403,9405,9324,9332,100236
2024-03-18T03:00:00.000Z,9332,9366,9324,9364,40251
2024-03-18T05:00:00.000Z,9365,9378,9352,9374,28992
2024-03-18T06:00:00.000Z,9374,9396,9358,9378,65387
2024-03-18T13:00:00.000Z,9380,9380,9330,9348,128317
2024-03-18T14:00:00.000Z,9348,9359,9316,9330,61954
2024-03-19T01:00:00.000Z,9341,9413,9337,9394,116566
2024-03-19T02:00:00.000Z,9394,9403,9351,9372,53169
2024-03-19T03:00:00.000Z,9372,9389,9359,9364,23990
2024-03-19T05:00:00.000Z,9362,9373,9321,9336,53521
2024-03-19T06:00:00.000Z,9336,9353,9302,9309,103171
2024-03-19T13:00:00.000Z,9309,9320,9254,9265,143167
2024-03-19T14:00:00.000Z,9265,9287,9250,9283,49116
2024-03-20T01:00:00.000Z,9284,9318,9284,9288,71434
2024-03-20T02:00:00.000Z,9288,9300,9265,9283,36926
2024-03-20T03:00:00.000Z,9283,9286,9257,9269,28894
2024-03-20T05:00:00.000Z,9269,9280,9254,9279,28771
2024-03-20T06:00:00.000Z,9279,9295,9242,9250,103131
2024-03-20T13:00:00.000Z,9189,9189,9134,9162,198716
2024-03-20T14:00:00.000Z,9162,9168,9105,9126,81943
2024-03-21T01:00:00.000Z,9145,9161,9117,9139,84053
2024-03-21T02:00:00.000Z,9139,9164,9128,9153,40152
2024-03-21T03:00:00.000Z,9153,9223,9151,9202,76833
2024-03-21T05:00:00.000Z,9203,9239,9188,9227,41402
2024-03-21T06:00:00.000Z,9227,9237,9197,9213,58365
2024-03-21T13:00:00.000Z,9189,9228,9173,9223,100119
2024-03-21T14:00:00.000Z,9223,9236,9184,9226,66275
2024-03-22T01:00:00.000Z,9232,9242,9150,9152,96607
2024-03-22T02:00:00.000Z,9152,9172,9134,9165,50210
2024-03-22T03:00:00.000Z,9165,9207,9163,9171,45336
2024-03-22T05:00:00.000Z,9173,9186,9151,9173,34180
2024-03-22T06:00:00.000Z,9173,9197,9161,9182,57520
2024-03-22T13:00:00.000Z,9198,9222,9177,9185,87970
2024-03-22T14:00:00.000Z,9185,9186,9149,9156,66250
