time,open,high,low,close,volume
2024-03-11T01:00:00.000Z,9048,9056,9005,9048,18954
2024-03-11T01:15:00.000Z,9048,9088,9047,9079,11313
2024-03-11T01:30:00.000Z,9079,9087,9046,9048,6099
2024-03-11T01:45:00.000Z,9048,9050,9031,9031,6336
2024-03-11T02:00:00.000Z,9031,9035,9006,9006,8872
2024-03-11T02:30:00.000Z,9006,9041,9003,9038,5700
2024-03-11T02:45:00.000Z,9038,9047,9033,9038,2200
2024-03-11T03:00:00.000Z,9038,9045,9032,9045,2385
2024-03-11T03:15:00.000Z,9045,9049,9029,9039,3406
2024-03-11T05:30:00.000Z,9037,9042,9027,9041,3385
2024-03-11T05:45:00.000Z,9041,9043,9030,9035,2347
2024-03-11T06:00:00.000Z,9035,9045,9031,9035,2431
2024-03-11T06:15:00.000Z,9035,9059,9033,9058,3777
2024-03-11T06:30:00.000Z,9058,9059,9039,9046,2982
2024-03-11T06:45:00.000Z,9046,9052,9034,9046,4887
2024-03-12T01:00:00.000Z,9064,9078,9052,9076,11227
2024-03-12T01:15:00.000Z,9076,9081,9039,9051,10563
2024-03-12T01:30:00.000Z,9051,9052,9037,9051,3742
2024-03-12T01:45:00.000Z,9051,9057,9048,9053,1999
2024-03-12T02:00:00.000Z,9053,9067,9051,9065,2976
2024-03-12T02:30:00.000Z,9065,9121,9065,9097,17638
2024-03-12T02:45:00.000Z,9097,9101,9086,9099,4662
2024-03-12T03:00:00.000Z,9099,9099,9079,9091,2985
2024-03-12T03:15:00.000Z,9091,9101,9085,9099,2431
2024-03-12T05:30:00.000Z,9102,9112,9101,9107,6314
2024-03-12T05:45:00.000Z,9107,9115,9096,9107,3623
2024-03-12T06:00:00.000Z,9107,9116,9092,9098,3754
2024-03-12T06:15:00.000Z,9098,9103,9078,9094,6276
2024-03-12T06:30:00.000Z,9094,9103,9092,9098,2400
2024-03-12T06:45:00.000Z,9098,9104,9082,9090,4221
2024-03-13T01:00:00.000Z,9125,9158,9108,9148,17672
2024-03-13T01:15:00.000Z,9148,9148,9128,9132,4423
2024-03-13T01:30:00.000Z,9132,9136,9112,9117,5486
2024-03-13T01:45:00.000Z,9117,9126,9109,9113,3149
2024-03-13T02:00:00.000Z,9113,9121,9099,9107,5758
2024-03-13T02:30:00.000Z,9106,9117,9102,9111,3794
2024-03-13T02:45:00.000Z,9111,9123,9101,9117,4749
2024-03-13T03:00:00.000Z,9117,9125,9101,9104,4588
2024-03-13T03:15:00.000Z,9104,9120,9098,9120,3507
2024-03-13T05:30:00.000Z,9110,9120,9104,9111,3507
2024-03-13T05:45:00.000Z,9111,9125,9111,9119,2684
2024-03-13T06:00:00.000Z,9119,9124,9103,9104,3115
2024-03-13T06:15:00.000Z,9104,9108,9081,9083,5566
2024-03-13T06:30:00.000Z,9083,9103,9083,9102,4077
2024-03-13T06:45:00.000Z,9102,9106,9086,9106,6161
2024-03-14T01:00:00.000Z,9125,9136,9091,9095,15205
2024-03-14T01:15:00.000Z,9095,9114,9093,9110,6277
2024-03-14T01:30:00.000Z,9110,9128,9094,9124,8231
2024-03-14T01:45:00.000Z,9124,9128,9110,9117,5086
2024-03-14T02:00:00.000Z,9117,9130,9113,9121,4307
2024-03-14T02:30:00.000Z,9121,9123,9103,9112,5502
2024-03-14T02:45:00.000Z,9112,9115,9104,9104,3719
2024-03-14T03:00:00.000Z,9104,9108,9095,9100,4010
2024-03-14T03:15:00.000Z,9100,9104,9094,9096,3255
2024-03-14T05:30:00.000Z,9095,9097,9072,9091,6109
2024-03-14T05:45:00.000Z,9091,9126,9085,9124,6919
2024-03-14T06:00:00.000Z,9124,9135,9117,9120,5493
2024-03-14T06:15:00.000Z,9120,9133,9115,9122,3526
2024-03-14T06:30:00.000Z,9122,9127,9109,9111,4556
2024-03-14T06:45:00.000Z,9111,9114,9098,9109,6808
2024-03-15T01:00:00.000Z,9104,9156,9099,9149,19047
2024-03-15T01:15:00.000Z,9149,9164,9145,9160,6106
2024-03-15T01:30:00.000Z,9160,9162,9088,9094,15028
2024-03-15T01:45:00.000Z,9094,9097,9069,9087,14088
2024-03-15T02:00:00.000Z,9087,9113,9087,9091,6115
2024-03-15T02:30:00.000Z,9088,9091,9072,9083,8029
2024-03-15T02:45:00.000Z,9083,9087,9076,9081,2130
2024-03-15T03:00:00.000Z,9081,9099,9075,9096,3029
2024-03-15T03:15:00.000Z,9096,9105,9082,9085,4247
2024-03-15T05:30:00.000Z,9084,9101,9082,9101,3612
2024-03-15T05:45:00.000Z,9101,9127,9098,9112,5800
2024-03-15T06:00:00.000Z,9112,9122,9108,9121,4594
2024-03-15T06:15:00.000Z,9121,9183,9120,9172,13925
2024-03-15T06:30:00.000Z,9172,9184,9163,9183,8383
2024-03-15T06:45:00.000Z,9183,9185,9156,9161,7741
2024-03-18T01:00:00.000Z,9198,9261,9198,9252,28002
2024-03-18T01:15:00.000Z,9252,9257,9218,9228,8351
2024-03-18T01:30:00.000Z,9228,9236,9206,9218,6207
2024-03-18T01:45:00.000Z,9218,9243,9212,9241,4040
2024-03-18T02:00:00.000Z,9241,9243,9224,9237,2826
2024-03-18T02:30:00.000Z,9236,9240,9222,9227,2093
2024-03-18T02:45:00.000Z,9227,9237,9224,9232,2364
2024-03-18T03:00:00.000Z,9232,9233,9223,9227,1453
2024-03-18T03:15:00.000Z,9227,9239,9226,9237,1616
2024-03-18T05:30:00.000Z,9236,9250,9230,9235,2551
2024-03-18T05:45:00.000Z,9235,9256,9231,9255,2852
2024-03-18T06:00:00.000Z,9255,9255,9240,9247,1555
2024-03-18T06:15:00.000Z,9247,9248,9233,9233,1447
2024-03-18T06:30:00.000Z,9233,9237,9220,9229,2977
2024-03-18T06:45:00.000Z,9229,9236,9222,9224,4077
2024-03-19T01:00:00.000Z,9259,9296,9239,9273,13838
2024-03-19T01:15:00.000Z,9273,9283,9254,9260,4984
2024-03-19T01:30:00.000Z,9260,9270,9250,9263,3597
2024-03-19T01:45:00.000Z,9263,9268,9259,9261,1213
2024-03-19T02:00:00.000Z,9261,9269,9259,9268,1050
2024-03-19T02:30:00.000Z,9267,9273,9244,9254,2969
2024-03-19T02:45:00.000Z,9254,9256,9240,9244,3001
2024-03-19T03:00:00.000Z,9244,9256,9242,9250,1055
2024-03-19T03:15:00.000Z,9250,9251,9243,9247,1301
2024-03-19T05:30:00.000Z,9246,9249,9219,9242,5345
2024-03-19T05:45:00.000Z,9242,9260,9235,9257,3176
2024-03-19T06:00:00.000Z,9257,9268,9248,9263,2866
2024-03-19T06:15:00.000Z,9263,9272,9254,9266,2950
2024-03-19T06:30:00.000Z,9266,9270,9251,9256,2018
2024-03-19T06:45:00.000Z,9256,9264,9249,9259,3719
2024-03-20T01:00:00.000Z,9274,9295,9253,9253,12137
2024-03-20T01:15:00.000Z,9253,9270,9244,9269,5207
2024-03-20T01:30:00.000Z,9269,9272,9260,9264,2162
2024-03-20T01:45:00.000Z,9264,9279,9258,9260,1950
2024-03-20T02:00:00.000Z,9260,9267,9255,9258,1486
2024-03-20T02:30:00.000Z,9258,9262,9250,9258,1798
2024-03-20T02:45:00.000Z,9258,9263,9252,9259,1357
2024-03-20T03:00:00.000Z,9259,9262,9251,9259,1230
2024-03-20T03:15:00.000Z,9259,9263,9256,9261,1001
2024-03-20T05:30:00.000Z,9261,9283,9258,9270,3726
2024-03-20T05:45:00.000Z,9270,9281,9266,9272,1957
2024-03-20T06:00:00.000Z,9272,9278,9266,9278,1322
2024-03-20T06:15:00.000Z,9278,9281,9270,9271,988
2024-03-20T06:30:00.000Z,9271,9272,9265,9267,1321
2024-03-20T06:45:00.000Z,9267,9288,9265,9287,3687
2024-03-21T01:00:00.000Z,9324,9448,9319,9416,42660
2024-03-21T01:15:00.000Z,9416,9420,9354,9358,17281
2024-03-21T01:30:00.000Z,9358,9416,9351,9410,12479
2024-03-21T01:45:00.000Z,9410,9419,9386,9390,7212
2024-03-21T02:00:00.000Z,9390,9392,9320,9322,13192
2024-03-21T02:30:00.000Z,9318,9330,9306,9310,9758
2024-03-21T02:45:00.000Z,9310,9325,9303,9320,5091
2024-03-21T03:00:00.000Z,9320,9323,9310,9311,1860
2024-03-21T03:15:00.000Z,9311,9319,9308,9309,1567
2024-03-21T05:30:00.000Z,9309,9324,9294,9315,4776
2024-03-21T05:45:00.000Z,9315,9318,9308,9310,1950
2024-03-21T06:00:00.000Z,9310,9314,9302,9307,3594
2024-03-21T06:15:00.000Z,9307,9311,9272,9275,5027
2024-03-21T06:30:00.000Z,9275,9280,9248,9265,12494
2024-03-21T06:45:00.000Z,9265,9270,9252,9266,7191
2024-03-22T01:00:00.000Z,9294,9328,9284,9319,14769
2024-03-22T01:15:00.000Z,9319,9325,9311,9320,2640
2024-03-22T01:30:00.000Z,9320,9322,9306,9310,2569
2024-03-22T01:45:00.000Z,9310,9311,9264,9276,8011
2024-03-22T02:00:00.000Z,9276,9328,9276,9308,6892
2024-03-22T02:30:00.000Z,9308,9314,9299,9305,2733
2024-03-22T02:45:00.000Z,9305,9318,9305,9313,2112
2024-03-22T03:00:00.000Z,9313,9338,9313,9321,3733
2024-03-22T03:15:00.000Z,9321,9324,9309,9316,2050
2024-03-22T05:30:00.000Z,9317,9323,9303,9314,2218
2024-03-22T05:45:00.000Z,9314,9328,9307,9324,1935
2024-03-22T06:00:00.000Z,9324,9366,9324,9360,6362
2024-03-22T06:15:00.000Z,9360,9362,9339,9340,3452
2024-03-22T06:30:00.000Z,9340,9340,9314,9321,3794
2024-03-22T06:45:00.000Z,9321,9330,9311,9330,4938
2024-03-25T01:00:00.000Z,9325,9325,9239,9246,22480
2024-03-25T01:15:00.000Z,9246,9286,9245,9286,8925
2024-03-25T01:30:00.000Z,9286,9310,9283,9306,6726
