time,open,high,low,close,volume
2022-11-07T14:30:00.000Z,20724,20763.4,20621.3,20710.8,2896.87
2022-11-07T14:45:00.000Z,20710.9,20726.1,20630,20655.4,1438.56
2022-11-07T15:00:00.000Z,20657.3,20737.7,20647.8,20706.7,1186.8
2022-11-07T15:15:00.000Z,20706.8,20739.1,20682,20717.7,1019.38
2022-11-07T15:30:00.000Z,20718,20729.8,20691.9,20708.4,339.03
2022-11-07T15:45:00.000Z,20707.6,20774,20698.9,20767.4,969.22
2022-11-07T16:00:00.000Z,20767.4,20807.6,20733.9,20742,1217.13
2022-11-07T16:15:00.000Z,20742,20765.6,20728.7,20751.5,438.34
2022-11-07T16:30:00.000Z,20751.5,20763.1,20702.7,20702.7,774.48
2022-11-07T16:45:00.000Z,20702.8,20722.4,20656.3,20661.4,933.72
2022-11-07T17:00:00.000Z,20661.5,20698.3,20653,20685.9,700.67
2022-11-07T17:15:00.000Z,20685.9,20716.4,20675.1,20702.7,510.62
2022-11-07T17:30:00.000Z,20704.1,20711.7,20688,20698.4,204.97
2022-11-07T17:45:00.000Z,20699.5,20703.1,20663.7,20701.7,265.23
2022-11-07T18:00:00.000Z,20703.2,20715.5,20695.2,20702.7,249.29
2022-11-07T18:15:00.000Z,20702.7,20729.9,20688.3,20729.9,344.25
2022-11-07T18:30:00.000Z,20730,20740,20703.5,20718.2,442.16
2022-11-07T18:45:00.000Z,20718.1,20724.5,20706.9,20713.1,187.75
2022-11-07T19:00:00.000Z,20713.1,20733.4,20706.4,20726.1,205.4
2022-11-07T19:15:00.000Z,20726.1,20781,20726.1,20768.4,792.63
2022-11-07T19:30:00.000Z,20768.4,20891.7,20765.6,20837.9,2071.67
2022-11-07T19:45:00.000Z,20837.9,20877,20832.8,20843.8,708.22
2022-11-07T20:00:00.000Z,20843.9,20870.9,20828.4,20870.3,448.34
2022-11-07T20:15:00.000Z,20870.5,20887.3,20848.8,20851.4,522.97
2022-11-07T20:30:00.000Z,20851.4,20861.1,20816.4,20824.6,362.9
2022-11-07T20:45:00.000Z,20825,20827.2,20800,20800.6,517.79
2022-11-07T21:00:00.000Z,20800.6,20830.5,20775,20775,492.87
2022-11-07T21:15:00.000Z,20775,20803.5,20775,20786,350.57
2022-11-07T21:30:00.000Z,20786,20788.5,20607.3,20652.2,1837.82
2022-11-07T21:45:00.000Z,20652.2,20696.9,20645.3,20683,607.9
2022-11-07T22:00:00.000Z,20683.9,20683.9,20625.1,20662.9,593.95
2022-11-07T22:15:00.000Z,20665.2,20674.3,20370.6,20441.9,5970.99
2022-11-07T22:30:00.000Z,20441.9,20516.3,20434.9,20482.5,1191.72
2022-11-07T22:45:00.000Z,20482.5,20509.9,20459,20460.8,699.17
2022-11-07T23:00:00.000Z,20460.7,20505.3,20450.4,20505.3,1089.45
2022-11-07T23:15:00.000Z,20506,20567,20497,20561.9,936.2
2022-11-07T23:30:00.000Z,20561.8,20574.5,20537.3,20566,854.84
2022-11-07T23:45:00.000Z,20566.1,20605.1,20543.8,20588,610.56
2022-11-08T00:00:00.000Z,20588.5,20629.1,20567,20610.4,834.31
2022-11-08T00:15:00.000Z,20610.4,20621.2,20544.1,20584.9,1036.64
2022-11-08T00:30:00.000Z,20584.9,20609,20562.7,20562.9,383.56
2022-11-08T00:45:00.000Z,20562.8,20568.9,20504.7,20516.5,841.28
2022-11-08T01:00:00.000Z,20516.5,20587,20499.9,20584.3,1032.51
