time,open,high,low,close,volume
2022-03-09T15:45:00.000Z,1995.72,1997.33,1993.57,1996,3728
2022-03-09T16:00:00.000Z,1996.04,2004.5,1991.92,2004.37,4126
2022-03-09T16:15:00.000Z,2004.42,2005.5,1998.14,2002.25,3811
2022-03-09T16:30:00.000Z,2002.29,2004.62,1998.91,2004.04,4118
2022-03-09T16:45:00.000Z,2003.96,2004.98,2000.5,2001.37,3610
2022-03-09T17:00:00.000Z,2001.36,2003.19,1992.96,1995.84,3514
2022-03-09T17:15:00.000Z,1995.86,1996.21,1988.96,1993.85,3179
2022-03-09T17:30:00.000Z,1993.77,1993.77,1984.47,1984.5,3682
2022-03-09T17:45:00.000Z,1984.49,1988.32,1983.51,1985.53,3042
2022-03-09T18:00:00.000Z,1985.51,1988.99,1984.15,1988.24,3275
2022-03-09T18:15:00.000Z,1988.22,1988.53,1982.11,1984.12,3511
2022-03-09T18:30:00.000Z,1984.19,1986.54,1981.93,1985.31,3052
2022-03-09T18:45:00.000Z,1985.33,1987.39,1980.71,1983.54,2545
2022-03-09T19:00:00.000Z,1983.47,1983.76,1979.93,1981.95,2304
2022-03-09T19:15:00.000Z,1981.9,1985.49,1981.9,1983.53,2167
2022-03-09T19:30:00.000Z,1983.53,1985.09,1979.66,1984.75,1805
2022-03-09T19:45:00.000Z,1984.74,1990.49,1984.64,1989.51,1930
2022-03-09T20:00:00.000Z,1989.47,1992.62,1986.91,1992.38,1914
2022-03-09T20:15:00.000Z,1992.38,1995.72,1992.29,1994.39,2525
2022-03-09T20:30:00.000Z,1994.39,1995.17,1989.02,1992.4,2773
2022-03-09T20:45:00.000Z,1992.47,1995.19,1989.94,1991.12,3442
2022-03-09T21:00:00.000Z,1991.31,1993.72,1991.25,1992.45,1275
2022-03-09T21:15:00.000Z,1992.43,1999.13,1991.34,1994.7,1409
2022-03-09T21:30:00.000Z,1994.7,1996,1991.48,1991.48,882
2022-03-09T21:45:00.000Z,1990.88,1992.97,1989.83,1991.85,982
2022-03-09T23:00:00.000Z,1991.9,1992.97,1990.48,1992.72,641
2022-03-09T23:15:00.000Z,1992.72,1993.18,1990.83,1991.68,843
2022-03-09T23:30:00.000Z,1991.67,1991.67,1989.43,1989.75,877
2022-03-09T23:45:00.000Z,1989.73,1992.46,1989.39,1989.9,1277
2022-03-10T00:00:00.000Z,1989.9,1990,1986.77,1987.98,1089
2022-03-10T00:15:00.000Z,1988.01,1989.16,1985.3,1985.64,720
2022-03-10T00:30:00.000Z,1985.63,1986.44,1982.52,1983.36,1271
2022-03-10T00:45:00.000Z,1983.37,1983.68,1981.88,1983.64,1073
2022-03-10T01:00:00.000Z,1983.61,1983.93,1972.82,1977.2,3414
2022-03-10T01:15:00.000Z,1977.2,1977.73,1970.84,1973.54,2597
2022-03-10T01:30:00.000Z,1973.53,1976.31,1971.39,1974.15,2676
2022-03-10T01:45:00.000Z,1974.17,1975.92,1972.46,1974.72,1914
2022-03-10T02:00:00.000Z,1974.68,1975.59,1970.94,1971.83,2178
2022-03-10T02:15:00.000Z,1971.87,1973.95,1971.02,1973.55,1296
2022-03-10T02:30:00.000Z,1973.57,1976.65,1973.02,1976.61,1711
2022-03-10T02:45:00.000Z,1976.63,1976.73,1974.24,1974.77,1454
2022-03-10T03:00:00.000Z,1974.77,1975.29,1972.91,1975.08,1527
2022-03-10T03:15:00.000Z,1975.22,1977.49,1974.2,1976.51,1651
2022-03-10T03:30:00.000Z,1976.6,1978.71,1976.24,1978.17,1301
2022-03-10T03:45:00.000Z,1978.2,1979.16,1975.11,1976.36,1096
2022-03-10T04:00:00.000Z,1976.36,1977.74,1975.83,1976.91,1126
2022-03-10T04:15:00.000Z,1976.91,1977.38,1975.53,1976.78,1407
2022-03-10T04:30:00.000Z,1976.78,1979.59,1976.68,1979.08,1172
2022-03-10T04:45:00.000Z,1979.21,1979.57,1977.75,1977.85,787
2022-03-10T05:00:00.000Z,1977.85,1979.32,1977.5,1978.75,1287
2022-03-10T05:15:00.000Z,1978.63,1978.63,1977.3,1977.88,1024
2022-03-10T05:30:00.000Z,1977.89,1981.86,1977.82,1980.64,2041
2022-03-10T05:45:00.000Z,1980.65,1984.25,1980.51,1980.85,2011
2022-03-10T06:00:00.000Z,1980.85,1984.32,1980.49,1982.23,1791
2022-03-10T06:15:00.000Z,1982.24,1987.87,1982.24,1987.79,2380
2022-03-10T06:30:00.000Z,1987.78,1989,1984.92,1985.24,2135
2022-03-10T06:45:00.000Z,1985.34,1985.42,1982.93,1983.12,1647
2022-03-10T07:00:00.000Z,1983.15,1983.15,1978.33,1980.49,2141
2022-03-10T07:15:00.000Z,1980.47,1982.06,1978.51,1981.67,1919
2022-03-10T07:30:00.000Z,1981.68,1981.69,1976.89,1979.42,2045
2022-03-10T07:45:00.000Z,1979.43,1981.39,1974.42,1975.37,1829
2022-03-10T08:00:00.000Z,1975.42,1984.15,1974.88,1982.87,3071
2022-03-10T08:15:00.000Z,1982.87,1986.25,1981.1,1985,2743
2022-03-10T08:30:00.000Z,1985.07,1988.16,1984.5,1986.36,2726
2022-03-10T08:45:00.000Z,1986.39,1987.46,1983.22,1983.82,2873
2022-03-10T09:00:00.000Z,1983.79,1984.05,1976.71,1980.69,2972
2022-03-10T09:15:00.000Z,1980.68,1982.19,1978.5,1982.1,1962
2022-03-10T09:30:00.000Z,1982.09,1983.1,1979.65,1979.85,2583
2022-03-10T09:45:00.000Z,1979.87,1987.33,1979.27,1985.8,2970
2022-03-10T10:00:00.000Z,1985.86,2000.08,1983.64,1995.21,3374
2022-03-10T10:15:00.000Z,1995.32,1996.5,1991.51,1991.66,2538
2022-03-10T10:30:00.000Z,1991.66,1998.91,1991.66,1996.34,2246
2022-03-10T10:45:00.000Z,1996.28,2000.14,1994.23,1999.63,1853
2022-03-10T11:00:00.000Z,1999.65,2007.71,1998.92,2003.32,3146
2022-03-10T11:15:00.000Z,2003.36,2006.44,2001.6,2006.38,2514
2022-03-10T11:30:00.000Z,2006.4,2007.84,2003.48,2006.54,1981
2022-03-10T11:45:00.000Z,2006.54,2007.65,2005.08,2005.27,2089
2022-03-10T12:00:00.000Z,2005.29,2006.25,2002.32,2002.42,2343
2022-03-10T12:15:00.000Z,2002.42,2003.98,1998.99,2003.1,2376
2022-03-10T12:30:00.000Z,2003.09,2009.12,2003.01,2005.34,2638
2022-03-10T12:45:00.000Z,2005.34,2005.95,1999.25,2002.94,4217
2022-03-10T13:00:00.000Z,2002.98,2007.92,2002.3,2005.58,3941
2022-03-10T13:15:00.000Z,2005.56,2007.7,2000.95,2002.29,3529
